Feature	Number of Genes	Genes
protein binding	38	NAPG, ASPSCR1, STAMBPL1, TWF2, AKAP12, ABTB1, ATG3, ATG7, CRK, CSK, DAG1, DFFA, EHD1, EHD3, GABPA, GLRX, LMCD1, LRRFIP1, MIF, NCAM1, NHERF1, NIBAN2, PACSIN2, PDLIM5, PHPT1, PREP, PRKCA, PRRC1, RPIA, S100A13, SAE1, SBDS, SWAP70, TIGAR, TPD52L1, TTLL12, UBQLN2, ZNF185
cytosol	32	ASPSCR1, STAMBPL1, AKAP12, ABTB1, ATG3, ATG7, CALB2, CRK, CSK, DAG1, DDAH1, DFFA, EHD3, GLRX, LRRFIP1, MIF, NCAM1, NIBAN2, NT5C, PACSIN2, PDLIM5, PHPT1, PREP, PRKCA, RPEL1, RPIA, S100A13, SBDS, SWAP70, TIGAR, TTLL12, UBQLN2
cytoplasm	31	ASPSCR1, TWF2, AKAP12, ABTB1, ATG3, ATG7, CRK, CSK, DAG1, EHD1, EHD3, HEBP1, LMCD1, LRRFIP1, MIF, NHERF1, NIBAN2, NT5C, PACSIN2, PREP, PRKCA, PRRC1, S100A13, SAE1, SBDS, SWAP70, TIGAR, TPD52L1, TTLL12, UBQLN2, ZNF185
nucleus	20	ASPSCR1, CALB2, CRK, DFFA, EHD3, GABPA, GLRX, LMCD1, LRRFIP1, NHERF1, NIBAN2, NT5C, PREP, S100A13, SAE1, SBDS, SWAP70, TIGAR, TTLL12, UBQLN2
plasma membrane	20	ASPSCR1, AKAP12, ABTB1, CRK, CSK, DAG1, DFFA, EHD1, EHD3, LRRFIP1, MIF, NCAM1, NIBAN2, PACSIN2, PHPT1, PRKCA, S100A13, SWAP70, TTLL12, UBQLN2
extracellular exosome	16	NAPG, TWF2, CRK, CSK, DAG1, DDAH1, EHD1, GLRX, HEBP1, MIF, NHERF1, NIBAN2, NT5C, PACSIN2, PHPT1, PRKCA
nucleoplasm	13	ASPSCR1, DAG1, DFFA, GABPA, KANSL3, LMCD1, MIF, NIBAN2, PHPT1, PRKCA, S100A13, SAE1, SBDS
identical protein binding	9	CSK, EHD1, MIF, NHERF1, NT5C, PACSIN2, RPIA, TPD52L1, UBQLN2
perinuclear region of cytoplasm	8	ASPSCR1, TWF2, EHD1, EHD3, NHERF1, PRKCA, S100A13, TPD52L1
membrane	8	STAMBPL1, CRK, DAG1, EHD1, NCAM1, NHERF1, PDLIM5, PREP
ATP binding	7	TWF2, CSK, EHD1, EHD3, PRKCA, SWAP70, TTLL12
metal ion binding	6	STAMBPL1, CSK, DDAH1, NT5C, PDLIM5, RPEL1
cadherin binding	6	TWF2, EHD1, LRRFIP1, NIBAN2, PACSIN2, SWAP70
extracellular region	6	ATG7, DAG1, HEBP1, MIF, NCAM1, S100A13
calcium ion binding	6	CALB2, DAG1, EHD1, EHD3, S100A13, SWAP70
intracellular membrane-bounded organelle	5	ASPSCR1, DAG1, KANSL3, PACSIN2, RPIA
focal adhesion	5	AKAP12, DAG1, EHD3, PACSIN2, ZNF185
actin cytoskeleton organization	5	CRK, NHERF1, PACSIN2, PDLIM5, PHPT1
cytoskeleton	4	AKAP12, DAG1, LRRFIP1, ZNF185
protein homodimerization activity	4	ATG7, LRRFIP1, S100A13, TPD52L1
actin cytoskeleton	4	CRK, NHERF1, PDLIM5, SWAP70
negative regulation of cell population proliferation	4	CSK, DDAH1, NHERF1, NIBAN2
zinc ion binding	4	LMCD1, PRKCA, S100A13, ZNF185
intracellular protein transport	3	NAPG, ASPSCR1, EHD1
mitochondrion	3	NAPG, GLRX, PRKCA
lamellipodium	3	TWF2, DAG1, SWAP70
filopodium	3	TWF2, DAG1, NHERF1
positive regulation of ERK1 and ERK2 cascade	3	AKAP12, MIF, PRKCA
nucleolus	3	ABTB1, S100A13, SBDS
autophagosome assembly	3	ATG3, ATG7, UBQLN2
protein transport	3	ATG7, EHD3, S100A13
regulation of transcription by RNA polymerase II	3	CRK, GABPA, LRRFIP1
membrane raft	3	CRK, CSK, NHERF1
positive regulation of MAP kinase activity	3	CSK, MIF, TPD52L1
extracellular space	3	DAG1, MIF, S100A13
adherens junction	3	DAG1, NIBAN2, PDLIM5
protein localization to plasma membrane	3	EHD1, EHD3, NHERF1
early endosome	3	EHD1, EHD3, PACSIN2
recycling endosome membrane	3	EHD1, EHD3, PACSIN2
negative regulation of transcription by RNA polymerase II	3	GABPA, LMCD1, LRRFIP1
protein-containing complex assembly	2	NAPG, NHERF1
Golgi apparatus	2	NAPG, PRRC1
positive regulation of protein modification process	2	ASPSCR1, ATG7
endomembrane system	2	ASPSCR1, NHERF1
endosome	2	STAMBPL1, PACSIN2
RNA binding	2	TWF2, SBDS
protein kinase C binding	2	TWF2, PDLIM5
actin filament binding	2	TWF2, PHPT1
positive regulation of neuron projection development	2	TWF2, EHD1
regulation of actin cytoskeleton organization	2	TWF2, CRK
