Feature	Number of Genes	Genes
cytoplasm	30	BTBD1, ENAH, ENO3, FABP3, GIT1, HSPB6, KLHL41, LDB3, LPP, LPXN, LRCH4, MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYOM3, OBSCN, PRX, PTK2, PXN, SENP1, TLN1, TNS1, TRIM62, TRIP6, USP33, ZYX
cytosol	26	BTBD1, ENAH, ENO3, FABP3, GIT1, HSPB6, KLHL41, LPP, LPXN, MYH15, MYH2, MYH6, MYH8, MYL3, NOB1, OBSCN, PTK2, PXN, TLN1, TNNI1, TNNT1, TNS3, TRIM62, TRIP6, USP33, ZYX
plasma membrane	17	DLGAP4, ENAH, ENO3, KLHL41, LPL, LPP, LPXN, OBSCN, PLXNA4, PRX, PTK2, PXN, SDC1, TLN1, TRIP6, VIPR2, ZYX
membrane	16	DLGAP4, ENO3, GIT1, KLHL41, LPL, LPP, LPXN, MFGE8, OBSCN, PGBD1, PLXNA4, PRX, PTK2, SDC1, TLN1, VIPR2
nucleus	14	AHDC1, ASCC2, FABP3, HSPB6, LPP, LPXN, NOB1, OBSCN, PRX, PTK2, SENP1, TLE2, TRIP6, ZYX
focal adhesion	14	ENAH, GIT1, LPP, LPXN, PTK2, PXN, SENP1, TLE2, TLN1, TNS1, TNS3, TRIP6, USP33, ZYX
Disease variant	12	AHDC1, ENO3, FBXO28, KLHL41, LDB3, LPL, MYH2, MYH6, MYH7, MYH8, MYL3, PRX
cell junction	12	ENAH, GIT1, LPP, LPXN, PRX, PTK2, PXN, TLN1, TNS1, TNS3, TRIP6, ZYX
cytoskeleton	11	ENAH, GIT1, KLHL41, LDB3, PTK2, PXN, TLN1, TNS1, TRIP6, USP33, ZYX
myofibril	11	KLHL41, LDB3, MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYOM3, OBSCN
metal ion binding	10	GIT1, LDB3, LPP, LPXN, NOB1, OBSCN, PXN, TNS1, TRIP6, ZYX
sarcomere	10	KLHL41, LDB3, MYH2, MYH4, MYH6, MYH7, MYH8, MYL3, MYOM3, OBSCN
cell membrane	9	LPL, LPP, LPXN, OBSCN, PLXNA4, PRX, PTK2, TLN1, VIPR2
actin filament binding	9	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYOM3, TLN1
ATP binding	9	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, OBSCN, PTK2
cell projection	8	ENAH, GIT1, KLHL41, LDB3, LPXN, PTK2, TLN1, TNS3
stress fiber	8	LDB3, LPP, MYH6, MYH7, PTK2, PXN, TRIP6, ZYX
myosin II complex	8	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYL3
calmodulin binding	8	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, OBSCN
muscle contraction	8	MYH1, MYH2, MYH4, MYH6, MYH7, MYH8, TNNI1, TNNT1
nucleoplasm	7	ASCC2, BTBD1, KLHL41, NOB1, SENP1, TLE2, USP33
muscle myosin complex	7	MYH1, MYH2, MYH4, MYH6, MYH7, MYH8, MYL3
myosin filament	7	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8
microfilament motor activity	7	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8
thick filament	7	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8
signal transduction	6	LPXN, PXN, TLE2, TRIP6, VIPR2, ZYX
identical protein binding	5	BTBD1, FBXO28, PGBD1, SDC1, TRIM62
actin binding	5	ENAH, LDB3, PTK2, TNNI1, TNS1
extracellular exosome	5	ENO3, FABP3, MFGE8, SDC1, TLN1
extracellular space	5	ENO3, FABP3, LPL, MFGE8, TLE2
sarcomere organization	5	LDB3, MYH6, MYH7, OBSCN, TNNT1
muscle filament sliding	5	MYH2, MYH4, MYH6, MYH7, MYH8
extracellular region	4	HSPB6, LPL, MFGE8, TLN1
secreted	4	HSPB6, LPL, MFGE8, SDC1
perinuclear region of cytoplasm	4	LDB3, LPXN, PTK2, USP33
Z disc	4	LDB3, MYH6, MYH7, OBSCN
perinuclear region	4	LDB3, LPXN, PTK2, USP33
Cardiomyopathy	4	LDB3, MYH6, MYH7, MYL3
cell surface	4	LPL, SDC1, TLN1, TNS1
transforming growth factor beta receptor signaling pathway	4	LPXN, PTK2, PXN, ZYX
ATP metabolic process	4	MYH4, MYH6, MYH7, MYH8
cardiac muscle contraction	4	MYH6, MYH7, MYL3, TNNI1
ventricular cardiac muscle tissue morphogenesis	4	MYH6, MYH7, MYL3, TNNI1
skeletal muscle contraction	4	MYH7, MYH8, TNNI1, TNNT1
cell migration	4	PTK2, PXN, SDC1, USP33
protein-containing complex	3	BTBD1, MYH2, SDC1
protein ubiquitination	3	BTBD1, KLHL41, TRIM62
lamellipodium	3	ENAH, GIT1, PXN
axon guidance	3	ENAH, PTK2, USP33
centrosome	3	GIT1, PTK2, USP33
microtubule organizing center	3	GIT1, PTK2, USP33
protein homodimerization activity	3	HSPB6, LPL, MYOM3
M band	3	KLHL41, MYOM3, OBSCN
striated muscle contraction	3	KLHL41, MYH6, MYH7
m line	3	KLHL41, MYOM3, OBSCN
adherens junction	3	LDB3, TLN1, ZYX
Myopathy	3	LDB3, MYH2, MYH7
cell-cell adhesion	3	LPP, OBSCN, TLN1
cell adhesion	3	LPXN, MFGE8, PXN
integrin binding	3	MFGE8, PTK2, TLN1
cell-cell junction	3	MYH2, OBSCN, PXN
regulation of the force of heart contraction	3	MYH6, MYH7, MYL3
transition between fast and slow fiber	3	MYH7, TNNI1, TNNT1
structural constituent of muscle	3	MYH8, MYL3, OBSCN
integrin-mediated signaling pathway	3	PTK2, TLN1, ZYX
RNA binding	3	TNS1, TRIP6, ZYX
chromosome	2	AHDC1, FBXO28
cell differentiation	2	AHDC1, PTK2
Intellectual disability	2	AHDC1, FBXO28
nuclear speck	2	ASCC2, LPXN
cytoplasmic ribonucleoprotein granule	2	BTBD1, MYH1
synapse	2	ENAH, GIT1
cytoskeletal protein binding	2	FABP3, LDB3
cholesterol homeostasis	2	FABP3, LPL
small GTPase binding	2	GIT1, USP33
ephrin receptor signaling pathway	2	GIT1, PTK2
regulation of G protein-coupled receptor signaling pathway	2	GIT1, USP33
Golgi apparatus	2	HSPB6, USP33
