name	geneset	paragraph	references
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	Proteins: CDKN1A, CREBBP, EP300, RBL1, TP53	
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	The system of interacting proteins primarily functions in the regulation of the cell cycle, specifically in controlling cell cycle progression and maintaining genomic stability. The proteins involved in this system are CDKN1A, CREBBP, EP300, RBL1, and TP53.[1][2][3]	"[1] Bi, Guoshu, Liang, Jiaqi, Zhao, Mengnan, Zhang, Huan, Jin, Xing, Lu, Tao, Zheng, Yuansheng, Bian, Yunyi, Chen, Zhencong, Huang, Yiwei, Besskaya, Valeria, Zhan, Cheng, Wang, Qun, Tan, Lijie. ""miR-6077 promotes cisplatin/pemetrexed resistance in lung adenocarcinoma via CDKN1A/cell cycle arrest and KEAP1/ferroptosis pathways."" Molecular therapy. Nucleic acids, 2022, pp. 366-386."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	The system of interacting proteins primarily functions in the regulation of the cell cycle, specifically in controlling cell cycle progression and maintaining genomic stability. The proteins involved in this system are CDKN1A, CREBBP, EP300, RBL1, and TP53.[1][2][3]	"[2] Lee, Jinkwon, Kim, Kwangho, Ryu, Tae Young, Jung, Cho-Rok, Lee, Moo-Seung, Lim, Jung Hwa, Park, Kunhyang, Kim, Dae-Soo, Son, Mi-Young, Hamamoto, Ryuji, Cho, Hyun-Soo. ""EHMT1 knockdown induces apoptosis and cell cycle arrest in lung cancer cells by increasing CDKN1A expression."" Molecular oncology, 2021, pp. 2989-3002."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	The system of interacting proteins primarily functions in the regulation of the cell cycle, specifically in controlling cell cycle progression and maintaining genomic stability. The proteins involved in this system are CDKN1A, CREBBP, EP300, RBL1, and TP53.[1][2][3]	"[3] Meireles Da Costa, Nathalia, Palumbo, Antonio, De Martino, Marco, Fusco, Alfredo, Ribeiro Pinto, Luis Felipe, Nasciutti, Luiz Eurico. ""Interplay between HMGA and TP53 in cell cycle control along tumor progression."" Cellular and molecular life sciences : CMLS, 2021, pp. 817-831."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	1. CDKN1A (Cyclin-Dependent Kinase Inhibitor 1A) - CDKN1A, also known as p21, is a potent cyclin-dependent kinase inhibitor that plays a crucial role in cell cycle regulation. It inhibits the activity of cyclin-CDK2/4 complexes, leading to cell cycle arrest in the G1 phase. This arrest allows for DNA repair or, if the damage is irreparable, apoptosis. CDKN1A is a transcriptional target of TP53, which is activated in response to DNA damage.[4][5][6]	"[4] Cavic, Milena, Spasic, Jelena, Krivokuca, Ana, Boljevic, Ivana, Kuburovic, Mira, Radosavljevic, Davorin, Jankovic, Radmila. ""<i>TP53</i> and DNA-repair gene polymorphisms genotyping as a low-cost lung adenocarcinoma screening tool."" Journal of clinical pathology, 2019, pp. 75-80."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	1. CDKN1A (Cyclin-Dependent Kinase Inhibitor 1A) - CDKN1A, also known as p21, is a potent cyclin-dependent kinase inhibitor that plays a crucial role in cell cycle regulation. It inhibits the activity of cyclin-CDK2/4 complexes, leading to cell cycle arrest in the G1 phase. This arrest allows for DNA repair or, if the damage is irreparable, apoptosis. CDKN1A is a transcriptional target of TP53, which is activated in response to DNA damage.[4][5][6]	"[5] Lee, Jinkwon, Kim, Kwangho, Ryu, Tae Young, Jung, Cho-Rok, Lee, Moo-Seung, Lim, Jung Hwa, Park, Kunhyang, Kim, Dae-Soo, Son, Mi-Young, Hamamoto, Ryuji, Cho, Hyun-Soo. ""EHMT1 knockdown induces apoptosis and cell cycle arrest in lung cancer cells by increasing CDKN1A expression."" Molecular oncology, 2021, pp. 2989-3002."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	1. CDKN1A (Cyclin-Dependent Kinase Inhibitor 1A) - CDKN1A, also known as p21, is a potent cyclin-dependent kinase inhibitor that plays a crucial role in cell cycle regulation. It inhibits the activity of cyclin-CDK2/4 complexes, leading to cell cycle arrest in the G1 phase. This arrest allows for DNA repair or, if the damage is irreparable, apoptosis. CDKN1A is a transcriptional target of TP53, which is activated in response to DNA damage.[4][5][6]	"[6] Engeland, Kurt. ""Cell cycle regulation: p53-p21-RB signaling."" Cell death and differentiation, 2022, pp. 946-960."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	2. TP53 (Tumor Protein p53) - TP53 is a transcription factor that plays a central role in maintaining genomic stability by preventing the propagation of cells with damaged DNA. It is activated in response to various stress signals, such as DNA damage, hypoxia, and oncogene activation. Upon activation, TP53 can induce cell cycle arrest, senescence, or apoptosis, depending on the cellular context and the extent of DNA damage. TP53 directly regulates the expression of CDKN1A, which contributes to cell cycle arrest.[7][8][9]	"[7] Andersson, Natalie, Saba, Karim H, Magnusson, Linda, Nilsson, Jenny, Karlsson, Jenny, Nord, Karolin H, Gisselsson, David. ""Inactivation of RB1, CDKN2A, and TP53 have distinct effects on genomic stability at side-by-side comparison in karyotypically normal cells."" Genes, chromosomes & cancer, 2023, pp. 93-100."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	2. TP53 (Tumor Protein p53) - TP53 is a transcription factor that plays a central role in maintaining genomic stability by preventing the propagation of cells with damaged DNA. It is activated in response to various stress signals, such as DNA damage, hypoxia, and oncogene activation. Upon activation, TP53 can induce cell cycle arrest, senescence, or apoptosis, depending on the cellular context and the extent of DNA damage. TP53 directly regulates the expression of CDKN1A, which contributes to cell cycle arrest.[7][8][9]	"[8] Bi, Guoshu, Liang, Jiaqi, Zhao, Mengnan, Zhang, Huan, Jin, Xing, Lu, Tao, Zheng, Yuansheng, Bian, Yunyi, Chen, Zhencong, Huang, Yiwei, Besskaya, Valeria, Zhan, Cheng, Wang, Qun, Tan, Lijie. ""miR-6077 promotes cisplatin/pemetrexed resistance in lung adenocarcinoma via CDKN1A/cell cycle arrest and KEAP1/ferroptosis pathways."" Molecular therapy. Nucleic acids, 2022, pp. 366-386."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	2. TP53 (Tumor Protein p53) - TP53 is a transcription factor that plays a central role in maintaining genomic stability by preventing the propagation of cells with damaged DNA. It is activated in response to various stress signals, such as DNA damage, hypoxia, and oncogene activation. Upon activation, TP53 can induce cell cycle arrest, senescence, or apoptosis, depending on the cellular context and the extent of DNA damage. TP53 directly regulates the expression of CDKN1A, which contributes to cell cycle arrest.[7][8][9]	"[9] Xie, Haibiao, Ma, Kaifang, Zhang, Kenan, Zhou, Jingcheng, Li, Lei, Yang, Wuping, Gong, Yanqing, Cai, Lin, Gong, Kan. ""Cell-cycle arrest and senescence in TP53-wild type renal carcinoma by enhancer RNA-P53-bound enhancer regions 2 (p53BER2) in a p53-dependent pathway."" Cell death & disease, 2021, pp. 1."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	3. CREBBP (CREB Binding Protein) and EP300 (E1A Binding Protein p300) - CREBBP and EP300 are histone acetyltransferases that function as transcriptional coactivators. They play a role in the regulation of cell growth, differentiation, and apoptosis by modulating the activity of various transcription factors, including TP53. Acetylation of TP53 by CREBBP/EP300 enhances its DNA binding and transcriptional activity, leading to the activation of target genes such as CDKN1A.[10][11][12]	"[10] Scialdone, Annarita, Khazaei, Somayeh, Hasni, Muhammad Sharif, Lennartsson, Andreas, Gullberg, Urban, Drott, Kristina. ""Depletion of the transcriptional coactivators CREB-binding protein or EP300 downregulates CD20 in diffuse large B-cell lymphoma cells and impairs the cytotoxic effects of anti-CD20 antibodies."" Experimental hematology, 2019, pp. 35-46.e1."
