geneSymbol	HGNCID
KIAA1300	HGNC:19162
KIAA0294	HGNC:14103
LINC01469	HGNC:51104
XB130	HGNC:25901
VDAC5P	HGNC:12676
BPX	HGNC:7638
RNF184	HGNC:25544
C6orf172	HGNC:21487
MGC22579	HGNC:775
CARD3	HGNC:10020
ARMC4P1	HGNC:44937
IGLC/OR22-1	HGNC:15696
PGR25	HGNC:19893
LCHN	HGNC:29472
FHR1	HGNC:4888
hsa-mir-922	HGNC:33672
FLJ22618	HGNC:29929
FLJ12816	HGNC:20154
CLE7	HGNC:23169
KNL3	HGNC:16165
DIL1	HGNC:11253
AKR6A9	HGNC:6230
PAF53	HGNC:17631
RN5S413	HGNC:43313
FAM192B	HGNC:37194
ELAFIN	HGNC:8947
APJR	HGNC:339
OACT5	HGNC:30244
MGC4659	HGNC:20511
SUHL	HGNC:13761
FLJ36860	HGNC:25065
KLHL19	HGNC:23177
dJ336K20B.2	HGNC:21593
nmt-tRNA-Leu-TAA-3-1	HGNC:35095
hsa-mir-1178	HGNC:35259
FLJ39155	HGNC:26810
bA16L21.2.1	HGNC:34187
B3-1	HGNC:9506
FLJ37393	HGNC:25352
MOZART1	HGNC:33830
A1BGAS	HGNC:37133
ZP3B	HGNC:13189
PRO28631	HGNC:20366
hsa-mir-4802	HGNC:41658
VCF	HGNC:11592
PRKCBP2	HGNC:9398
SPAX3	HGNC:25133
IES6	HGNC:26994
hsa-mir-3648	HGNC:38941
p125B	HGNC:29106
CX45	HGNC:4280
IFNA-J	HGNC:5428
RSP3	HGNC:21054
C8orf12	HGNC:15548
PLCL4	HGNC:29037
KIAA0879	HGNC:3359
SLIT3	HGNC:11085
NS5ATP6	HGNC:24943
FLJ41590	HGNC:49755
AI2A4	HGNC:26300
hsa-mir-3912	HGNC:38923
AP4	HGNC:17922
BLP2	HGNC:24128
FLJ20510	HGNC:22948
GlyT-2	HGNC:11051
FOXF1-AS1	HGNC:43894
PEP3	HGNC:15972
mig-14	HGNC:30238
FLJ42833	HGNC:32368
GNL3B	HGNC:25553
hsa-mir-4444-2	HGNC:43481
hsa-mir-5690	HGNC:43490
KIAA1088	HGNC:15888
ZNF642	HGNC:24708
FLJ10508	HGNC:16417
FLJ42622	HGNC:3242
RP30	HGNC:3960
PNC2	HGNC:25554
PGAM3	HGNC:21731
CYB5P3	HGNC:2574
TCRGV9	HGNC:12295
MIBP1	HGNC:4921
NY-REN-34	HGNC:17024
DKFZp586G1722	HGNC:29876
TPRD	HGNC:12393
C1orf227	HGNC:33709
C15orf59-AS1	HGNC:51422
CaMKIIβ	HGNC:1461
SEPT14P16	HGNC:51704
FLJ10204	HGNC:25490
TRP-2	HGNC:2709
NUC	HGNC:8043
KRTAP18-8	HGNC:20525
DKFZP434B187	HGNC:8907
FLJ37812	HGNC:27506
dJ447F3.4	HGNC:16160
LEC2	HGNC:20973
IGFBP3R1	HGNC:6692
FGF-AS	HGNC:8053
NPHP18	HGNC:17966
TRG-GCC2-6	HGNC:34881
TRIAD3	HGNC:21698
MK2S4	HGNC:28310
GALNAC4ST-2	HGNC:19898
